direccion_original,direccion_consulta,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,precision,estado,fecha_consulta
"MANSILLA, LUCIO NORBERTO, GENERAL 2525","MANSILLA, LUCIO NORBERTO, GENERAL 2525","MANSILLA, LUCIO NORBERTO, GENERAL 2525, CABA",-34.596393,-58.403483,,,calle_altura,exacta,2026-06-12
RIVADAVIA AV. 9377;RIVADAVIA AV. 9379,RIVADAVIA 9377,"RIVADAVIA AV. 9377, CABA",-34.636877,-58.496206,,,calle_altura,exacta,2026-06-13
DEFENSA 1444,DEFENSA 1444,"DEFENSA 1444, CABA",-34.624755,-58.371122,,,calle_altura,exacta,2026-06-12
CARRASCO AV. 23,CARRASCO AV. 23,"CARRASCO AV. 23, CABA",-34.634987,-58.487837,,,calle_altura,exacta,2026-06-12
"HOMERO 1450;PINELO, LEON 4795;PINELO, LEON 4797",HOMERO 1450,"HOMERO 1450, CABA",-34.651252,-58.484465,,,calle_altura,exacta,2026-06-13
REGIMIENTO DE PATRICIOS AV. 116,REGIMIENTO DE PATRICIOS AV. 116,"REGIMIENTO DE PATRICIOS AV. 116, CABA",-34.631018,-58.370444,,,calle_altura,exacta,2026-06-12
TRAFUL 3702,TRAFUL 3702,"TRAFUL 3702, CABA",-34.651241,-58.412885,,,calle_altura,exacta,2026-06-12
NOGOYA 3201,NOGOYA 3201,"NOGOYA 3201, CABA",-34.603886,-58.493623,,,calle_altura,exacta,2026-06-12
SAAVEDRA 344;SAAVEDRA 342,SAAVEDRA 344,"SAAVEDRA 344, CABA",-34.613859,-58.403041,,,calle_altura,exacta,2026-06-13
MORENO 828,MORENO 828,"MORENO 828, CABA",-34.611704,-58.378005,,,calle_altura,exacta,2026-06-12
AMENABAR 887,AMENABAR 887,"AMENABAR 887, CABA",-34.571427,-58.448074,,,calle_altura,exacta,2026-06-12
"LUGONES 4196;BALBIN, RICARDO, DR. AV. 4302",LUGONES 4196,"LUGONES 4196, CABA",-34.555332,-58.49232,,,calle_altura,exacta,2026-06-13
LA RIOJA 2111,LA RIOJA 2111,"LA RIOJA 2111, CABA",-34.636133,-58.405786,,,calle_altura,exacta,2026-06-12
SAN JUAN AV. 4200,SAN JUAN AV. 4200,"SAN JUAN AV. 4200, CABA",-34.626672,-58.423964,,,calle_altura,exacta,2026-06-12
PAEZ 2501,PAEZ 2501,"PAEZ 2501, CABA",-34.620495,-58.468143,,,calle_altura,exacta,2026-06-12
LINIERS VIRREY 573,LINIERS VIRREY 573,"LINIERS VIRREY 573, CABA",-34.617825,-58.414202,,,calle_altura,exacta,2026-06-12
"BROWN, ALTE. AV. 235;BROWN, ALTE. AV. 285",BROWN 235,"BROWN, ALTE. AV. 235, CABA",-34.628744,-58.366204,,,calle_altura,exacta,2026-06-13
JURAMENTO 1700,JURAMENTO 1700,"JURAMENTO 1700, CABA",-34.558065,-58.449933,,,calle_altura,exacta,2026-06-12
BELGRANO 4016,BELGRANO 4016,"BELGRANO 4016, CABA",-34.615852,-58.423161,,,calle_altura,exacta,2026-06-12
"CARRIL, SALVADOR MARIA DEL AV. 3899;CARRIL, SALVADOR MARIA DEL AV. 3891;CARRIL, SALVADOR MARIA DEL AV. 3887",CARRIL 3899,"CARRIL, SALVADOR MARIA DEL AV. 3899, CABA",-34.59865,-58.511232,,,calle_altura,exacta,2026-06-13
CHICLANA AV. 3528,CHICLANA AV. 3528,"CHICLANA AV. 3528, CABA",-34.636258,-58.41399,,,calle_altura,exacta,2026-06-12
MONROE 1598,MONROE 1598,"MONROE 1598, CABA",-34.553612,-58.451929,,,calle_altura,exacta,2026-06-12
CORRIENTES AV. 2308,CORRIENTES AV. 2308,"CORRIENTES AV. 2308, CABA",-34.604722,-58.399632,,,calle_altura,exacta,2026-06-12
NAZCA AV. 2194,NAZCA AV. 2194,"NAZCA AV. 2194, CABA",-34.609602,-58.482987,,,calle_altura,exacta,2026-06-12
"ACUÑA DE FIGUEROA, FRANCISCO 1291","ACUÑA DE FIGUEROA, FRANCISCO 1291","ACUÑA DE FIGUEROA, FRANCISCO 1291, CABA",-34.596651,-58.421502,,,calle_altura,exacta,2026-06-12
"BEIRO, FRANCISCO AV. 5225","BEIRO, FRANCISCO AV. 5225","BEIRO, FRANCISCO AV. 5225, CABA",-34.613201,-58.523952,,,calle_altura,exacta,2026-06-12
ARRIBEÑOS 3692;ARRIBEÑOS 3698,ARRIBENOS 3692,"ARRIBEÑOS 3692, CABA",-34.544373,-58.461064,,,calle_altura,exacta,2026-06-13
INDEPENDENCIA AV. 375,INDEPENDENCIA AV. 375,"INDEPENDENCIA AV. 375, CABA",-34.617112,-58.371249,,,calle_altura,exacta,2026-06-12
GODOY CRUZ 1853;GODOY CRUZ 1855,GODOY CRUZ 1853,"GODOY CRUZ 1853, CABA",-34.58652,-58.4323,,,calle_altura,exacta,2026-06-13
3 DE FEBRERO 2770;3 DE FEBRERO 2772,3 DE FEBRERO 2770,"3 DE FEBRERO 2770, CABA",-34.553249,-58.457349,,,calle_altura,exacta,2026-06-13
"OCAMPO, VICTORIA 360;MANSO JUANA 305",OCAMPO 360,"OCAMPO, VICTORIA 360, CABA",-34.601953,-58.364111,,,calle_altura,exacta,2026-06-13
GUARDIA VIEJA 4558,GUARDIA VIEJA 4558,"GUARDIA VIEJA 4558, CABA",-34.599904,-58.429089,,,calle_altura,exacta,2026-06-12
LAPRIDA 1346,LAPRIDA 1346,"LAPRIDA 1346, CABA",-34.593183,-58.406884,,,calle_altura,exacta,2026-06-12
FLORIDA 727;FLORIDA 729;FLORIDA 735;FLORIDA 753;FLORIDA 755;FLORIDA 765;FLORIDA 771;FLORIDA 777;FLORIDA 783;FLORIDA 785;CORDOBA AV. 532;CORDOBA AV. 550;CORDOBA AV. 552;CORDOBA AV. 570;SAN MARTIN 712;SAN MARTIN 702;SAN MARTIN 712;SAN MARTIN 714;SAN MARTIN 718;SAN MARTIN 728;SAN MARTIN 732;SAN MARTIN 736;SAN MARTIN 746;SAN MARTIN 748;SAN MARTIN 752;SAN MARTIN 760;VIAMONTE 501;VIAMONTE 509;VIAMONTE 515;VIAMONTE 521;VIAMONTE 525;VIAMONTE 529;VIAMONTE 541;VIAMONTE 545;VIAMONTE 547;VIAMONTE 549,FLORIDA 727,"FLORIDA 727, CABA",-34.599566,-58.375364,,,calle_altura,exacta,2026-06-13
DIRECTORIO AV. 903,DIRECTORIO AV. 903,"DIRECTORIO AV. 903, CABA",-34.628814,-58.439757,,,calle_altura,exacta,2026-06-12
CIUDAD DE LA PAZ 896;CIUDAD DE LA PAZ 894,CIUDAD DE LA PAZ 896,"CIUDAD DE LA PAZ 896, CABA",-34.570725,-58.447479,,,calle_altura,exacta,2026-06-13
"GALLARDO, ANGEL AV. 1091","GALLARDO, ANGEL AV. 1091","GALLARDO, ANGEL AV. 1091, CABA",-34.607163,-58.445379,,,calle_altura,exacta,2026-06-12
24 DE NOVIEMBRE 108,24 DE NOVIEMBRE 108,"24 DE NOVIEMBRE 108, CABA",-34.611968,-58.41162,,,calle_altura,exacta,2026-06-12
HONDURAS 4308;HONDURAS 4318;LAVALLEJA 1500,HONDURAS 4308,"HONDURAS 4308, CABA",-34.593411,-58.42374,,,calle_altura,exacta,2026-06-13
GURRUCHAGA 1142;GURRUCHAGA 1140,GURRUCHAGA 1142,"GURRUCHAGA 1142, CABA",-34.592619,-58.434427,,,calle_altura,exacta,2026-06-13
LAVALLE 2066,LAVALLE 2066,"LAVALLE 2066, CABA",-34.603313,-58.396386,,,calle_altura,exacta,2026-06-12
"PERON, EVA AV. 2591","PERON, EVA AV. 2591","PERON, EVA AV. 2591, CABA",-34.640948,-58.456652,,,calle_altura,exacta,2026-06-12
"URIBURU JOSE E., Pres. 1092","URIBURU JOSE E., Pres. 1092","URIBURU JOSE E., PRES. 1092, CABA",-34.595639,-58.398631,,,calle_altura,exacta,2026-06-12
MAIPU 608,MAIPU 608,"MAIPU 608, CABA",-34.600969,-58.376807,,,calle_altura,exacta,2026-06-12
VARELA AV. 720,VARELA AV. 720,"VARELA AV. 720, CABA",-34.637822,-58.460301,,,calle_altura,exacta,2026-06-12
LOPE DE VEGA AV. 669,LOPE DE VEGA AV. 669,"LOPE DE VEGA AV. 669, CABA",-34.631659,-58.501663,,,calle_altura,exacta,2026-06-12
USPALLATA 857,USPALLATA 857,"USPALLATA 857, CABA",-34.632734,-58.375244,,,calle_altura,exacta,2026-06-12
OLLEROS AV. 1879,OLLEROS AV. 1879,"OLLEROS AV. 1879, CABA",-34.565835,-58.439259,,,calle_altura,exacta,2026-06-12
"GOYENA, PEDRO AV. 494;GOYENA, PEDRO AV. 498",GOYENA 494,"GOYENA, PEDRO AV. 494, CABA",-34.625929,-58.434072,,,calle_altura,exacta,2026-06-13
ARIAS 2899,ARIAS 2899,"ARIAS 2899, CABA",-34.543799,-58.477972,,,calle_altura,exacta,2026-06-12
CASEROS AV. 3245,CASEROS AV. 3245,"CASEROS AV. 3245, CABA",-34.637821,-58.410123,,,calle_altura,exacta,2026-06-12
GASCON 1295;GORRITI 4098,GASCON 1295,"GASCON 1295, CABA",-34.595411,-58.422969,,,calle_altura,exacta,2026-06-13
"CAMPICHUELO 212;ARAOZ ALFARO, GREGORIO, DR 211",CAMPICHUELO 212,"CAMPICHUELO 212, CABA",-34.614619,-58.43389,,,calle_altura,exacta,2026-06-13
RIO DE JANEIRO 700,RIO DE JANEIRO 700,"RIO DE JANEIRO 700, CABA",-34.60724,-58.430657,,,calle_altura,exacta,2026-06-12
"GOYENA, PEDRO AV. 123","GOYENA, PEDRO AV. 123","GOYENA, PEDRO AV. 123, CABA",-34.625237,-58.429005,,,calle_altura,exacta,2026-06-12
"SCALABRINI ORTIZ, RAUL 2701","SCALABRINI ORTIZ, RAUL 2701","SCALABRINI ORTIZ, RAUL 2701, CABA",-34.583998,-58.414058,,,calle_altura,exacta,2026-06-12
RIVADAVIA AV. 3078,RIVADAVIA AV. 3078,"RIVADAVIA AV. 3078, CABA",-34.610478,-58.40979,,,calle_altura,exacta,2026-06-12
CURAPALIGUE 443,CURAPALIGUE 443,"CURAPALIGUE 443, CABA",-34.629934,-58.451957,,,calle_altura,exacta,2026-06-12
MEDRANO AV. 899,MEDRANO AV. 899,"MEDRANO AV. 899, CABA",-34.599481,-58.420363,,,calle_altura,exacta,2026-06-12
NAZARRE 2887,NAZARRE 2887,"NAZARRE 2887, CABA",-34.599821,-58.490681,,,calle_altura,exacta,2026-06-12
DEL LIBERTADOR AV. 3164,DEL LIBERTADOR AV. 3164,"DEL LIBERTADOR AV. 3164, CABA",-34.576265,-58.412674,,,calle_altura,exacta,2026-06-12
SAN JUAN AV. 1945,SAN JUAN AV. 1945,"SAN JUAN AV. 1945, CABA",-34.622758,-58.393265,,,calle_altura,exacta,2026-06-12
CHARCAS 2855,CHARCAS 2855,"CHARCAS 2855, CABA",-34.593883,-58.406606,,,calle_altura,exacta,2026-06-12
MOLDES 2287,MOLDES 2287,"MOLDES 2287, CABA",-34.562005,-58.460832,,,calle_altura,exacta,2026-06-12
REGIMIENTO DE PATRICIOS AV. 502,REGIMIENTO DE PATRICIOS AV. 502,"REGIMIENTO DE PATRICIOS AV. 502, CABA",-34.634648,-58.370019,,,calle_altura,exacta,2026-06-12
JUJUY AV. 1505,JUJUY AV. 1505,"JUJUY AV. 1505, CABA",-34.627644,-58.401407,,,calle_altura,exacta,2026-06-12
WARNES AV. 2191;OSORIO 5050,WARNES 2191,"WARNES AV. 2191, CABA",-34.596315,-58.467015,,,calle_altura,exacta,2026-06-13
MERCEDES 1800,MERCEDES 1800,"MERCEDES 1800, CABA",-34.618332,-58.496476,,,calle_altura,exacta,2026-06-12
PARAGUAY 4494,PARAGUAY 4494,"PARAGUAY 4494, CABA",-34.584804,-58.424148,,,calle_altura,exacta,2026-06-12
"COSSETTINI, OLGA 803;DEALESSI, PIERINA 830",COSSETTINI 803,,,,,,sin_coordenadas,sin_match,2026-06-13
NAZARRE 3135;NAZARRE 3175;NAZARRE 3187;NAZARRE 3189;CUENCA 3001;CUENCA 3003;CUENCA 3005;CUENCA 3025;CUENCA 3027;CUENCA 3029;CUENCA 3031;CUENCA 3033;CUENCA 3035;CUENCA 3037;CUENCA 3039;CUENCA 3043;CUENCA 3045;CUENCA 3047,NAZARRE 3135,"NAZARRE 3135, CABA",-34.601927,-58.494199,,,calle_altura,exacta,2026-06-13
SANTA FE AV. 2729;SANTA FE AV. 2727,SANTA FE 2729,"SANTA FE AV. 2729, CABA",-34.593044,-58.405367,,,calle_altura,exacta,2026-06-13
LAVALLE 1627,LAVALLE 1627,"LAVALLE 1627, CABA",-34.602986,-58.389951,,,calle_altura,exacta,2026-06-12
GAONA AV. 2683,GAONA AV. 2683,"GAONA AV. 2683, CABA",-34.615615,-58.464324,,,calle_altura,exacta,2026-06-12
BARZANA 2179,BARZANA 2179,"BARZANA 2179, CABA",-34.578427,-58.488364,,,calle_altura,exacta,2026-06-12
"LOPEZ, VICENTE 1825","LOPEZ, VICENTE 1825","LOPEZ, VICENTE 1825, CABA",-34.590636,-58.391169,,,calle_altura,exacta,2026-06-12
MEDRANO AV. 377,MEDRANO AV. 377,"MEDRANO AV. 377, CABA",-34.606406,-58.421262,,,calle_altura,exacta,2026-06-12
"GOMEZ, VALENTIN 3834","GOMEZ, VALENTIN 3834","GOMEZ, VALENTIN 3834, CABA",-34.604528,-58.418681,,,calle_altura,exacta,2026-06-12
SANCHEZ DE BUSTAMANTE 2012,SANCHEZ DE BUSTAMANTE 2012,"SANCHEZ DE BUSTAMANTE 2012, CABA",-34.588692,-58.407363,,,calle_altura,exacta,2026-06-12
"ALVEAR, MARCELO T. De 799","ALVEAR, MARCELO T. De 799","ALVEAR, MARCELO T. DE 799, CABA",-34.596313,-58.378249,,,calle_altura,exacta,2026-06-12
GUAMINI 4936;GUAMINI 4938,GUAMINI 4936,"GUAMINI 4936, CABA",-34.687664,-58.476813,,,calle_altura,exacta,2026-06-13
MURGUIONDO 4076;MURGUIONDO 4078,MURGUIONDO 4076,"MURGUIONDO 4076, CABA",-34.676035,-58.476775,,,calle_altura,exacta,2026-06-13
"CHILAVERT, MARTINIANO, CORONEL 6622;CHILAVERT, MARTINIANO, CORONEL 6624",CHILAVERT 6622,"CHILAVERT, MARTINIANO, CORONEL 6622, CABA",-34.687631,-58.477479,,,calle_altura,exacta,2026-06-13
JUNCAL 1149,JUNCAL 1149,"JUNCAL 1149, CABA",-34.592829,-58.383623,,,calle_altura,exacta,2026-06-12
"PERON, JUAN DOMINGO, TTE. GENERAL 1259","PERON, JUAN DOMINGO, TTE. GENERAL 1259","PERON, JUAN DOMINGO, TTE. GENERAL 1259, CABA",-34.606268,-58.384394,,,calle_altura,exacta,2026-06-12
RIVADAVIA AV. 3701,RIVADAVIA AV. 3701,"RIVADAVIA AV. 3701, CABA",-34.610955,-58.41863,,,calle_altura,exacta,2026-06-12
BUCARELLI 2181;BUCARELLI 2179,BUCARELLI 2181,"BUCARELLI 2181, CABA",-34.577491,-58.48653,,,calle_altura,exacta,2026-06-13
CASTILLO 565,CASTILLO 565,"CASTILLO 565, CABA",-34.59481,-58.434798,,,calle_altura,exacta,2026-06-12
"YRIGOYEN, HIPOLITO 2298","YRIGOYEN, HIPOLITO 2298","YRIGOYEN, HIPOLITO 2298, CABA",-34.610832,-58.398878,,,calle_altura,exacta,2026-06-12
SARMIENTO 1138,SARMIENTO 1138,"SARMIENTO 1138, CABA",-34.605084,-58.382842,,,calle_altura,exacta,2026-06-12
MOSCONI GENERAL AV. 3446,MOSCONI GENERAL AV. 3446,"MOSCONI GENERAL AV. 3446, CABA",-34.590732,-58.509344,,,calle_altura,exacta,2026-06-12
LAS HERAS GENERAL AV. 3899,LAS HERAS GENERAL AV. 3899,"LAS HERAS GENERAL AV. 3899, CABA",-34.581641,-58.414072,,,calle_altura,exacta,2026-06-12
BILLINGHURST 1785,BILLINGHURST 1785,"BILLINGHURST 1785, CABA",-34.589814,-58.409668,,,calle_altura,exacta,2026-06-12
BAUNESS 2095;BAUNESS 2097,BAUNESS 2095,"BAUNESS 2095, CABA",-34.577952,-58.484633,,,calle_altura,exacta,2026-06-13
GASCON 801,GASCON 801,"GASCON 801, CABA",-34.601501,-58.423864,,,calle_altura,exacta,2026-06-12
ESMERALDA 1249,ESMERALDA 1249,"ESMERALDA 1249, CABA",-34.593495,-58.378519,,,calle_altura,exacta,2026-06-12
MONTEVIDEO 247,MONTEVIDEO 247,"MONTEVIDEO 247, CABA",-34.606124,-58.389285,,,calle_altura,exacta,2026-06-12
MAIPU 989,MAIPU 989,"MAIPU 989, CABA",-34.596554,-58.376913,,,calle_altura,exacta,2026-06-12
"VALLE, ARISTOBULO DEL 1674","VALLE, ARISTOBULO DEL 1674","VALLE, ARISTOBULO DEL 1674, CABA",-34.636261,-58.374587,,,calle_altura,exacta,2026-06-12
MONTAÑESES 2231,MONTAÑESES 2231,"MONTAÑESES 2231, CABA",-34.556028,-58.450042,,,calle_altura,exacta,2026-06-12
SOLER 5101,SOLER 5101,"SOLER 5101, CABA",-34.583653,-58.428996,,,calle_altura,exacta,2026-06-12
CHARLONE 2101;DONADO 1304,CHARLONE 2101,"CHARLONE 2101, CABA",-34.580444,-58.471028,,,calle_altura,exacta,2026-06-13
"CASTRO, EMILIO AV. 7502;SUAREZ, JOSE LEON 1511",CASTRO 7502,"CASTRO, EMILIO AV. 7502, CABA",-34.655512,-58.522903,,,calle_altura,exacta,2026-06-13
CERRITO 1070,CERRITO 1070,"CERRITO 1070, CABA",-34.595924,-58.382763,,,calle_altura,exacta,2026-06-12
ANCON 5168,ANCON 5168,"ANCON 5168, CABA",-34.575589,-58.432004,,,calle_altura,exacta,2026-06-12
MENDEZ DE ANDES 900,MENDEZ DE ANDES 900,"MENDEZ DE ANDES 900, CABA",-34.615439,-58.44771,,,calle_altura,exacta,2026-06-12
CIUDAD DE LA PAZ 2214,CIUDAD DE LA PAZ 2214,"CIUDAD DE LA PAZ 2214, CABA",-34.561525,-58.458667,,,calle_altura,exacta,2026-06-12
"CALDERON DE LA BARCA, PEDRO 2803","CALDERON DE LA BARCA, PEDRO 2803","CALDERON DE LA BARCA, PEDRO 2803, CABA",-34.615789,-58.51989,,,calle_altura,exacta,2026-06-12
"ALSINA, ADOLFO 1499","ALSINA, ADOLFO 1499","ALSINA, ADOLFO 1499, CABA",-34.611135,-58.387377,,,calle_altura,exacta,2026-06-12
AGUILAR 2391,AGUILAR 2391,"AGUILAR 2391, CABA",-34.568618,-58.446883,,,calle_altura,exacta,2026-06-12
RIVADAVIA AV. 4975,RIVADAVIA AV. 4975,"RIVADAVIA AV. 4975, CABA",-34.617953,-58.43587,,,calle_altura,exacta,2026-06-12
BLANCO ENCALADA 5261,BLANCO ENCALADA 5261,"BLANCO ENCALADA 5261, CABA",-34.576705,-58.488421,,,calle_altura,exacta,2026-06-12
"SCALABRINI ORTIZ, RAUL AV. 2489","SCALABRINI ORTIZ, RAUL AV. 2489","SCALABRINI ORTIZ, RAUL AV. 2489, CABA",-34.585418,-58.416199,,,calle_altura,exacta,2026-06-12
DELGADO 903,DELGADO 903,"DELGADO 903, CABA",-34.577992,-58.45436,,,calle_altura,exacta,2026-06-12
SAN NICOLAS 819;GAONA AV. 4099,SAN NICOLAS 819,"SAN NICOLAS 819, CABA",-34.624041,-58.481872,,,calle_altura,exacta,2026-06-13
